15:45:34.064 [ApplicationImpl pooled thread 319] INFO  com.browserstack.utils.Helpers - null
15:45:34.065 [ApplicationImpl pooled thread 319] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:47:38.723 [ApplicationImpl pooled thread 337] INFO  c.b.l.BrowserStackRunExtension - testng
15:47:38.723 [ApplicationImpl pooled thread 337] INFO  com.browserstack.utils.Helpers - null
15:47:38.724 [ApplicationImpl pooled thread 337] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:07:44.520 [ApplicationImpl pooled thread 349] INFO  c.b.l.BrowserStackRunExtension - testng
16:07:44.520 [ApplicationImpl pooled thread 349] INFO  com.browserstack.utils.Helpers - null
16:07:44.521 [ApplicationImpl pooled thread 349] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:17:40.504 [ApplicationImpl pooled thread 359] INFO  c.b.l.BrowserStackRunExtension - testng
16:17:40.504 [ApplicationImpl pooled thread 359] INFO  com.browserstack.utils.Helpers - null
16:17:40.505 [ApplicationImpl pooled thread 359] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:26:12.639 [ApplicationImpl pooled thread 365] INFO  c.b.l.BrowserStackRunExtension - testng
16:26:12.639 [ApplicationImpl pooled thread 365] INFO  com.browserstack.utils.Helpers - null
16:26:12.640 [ApplicationImpl pooled thread 365] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:37:02.902 [ApplicationImpl pooled thread 375] INFO  c.b.l.BrowserStackRunExtension - testng
16:37:02.902 [ApplicationImpl pooled thread 375] INFO  com.browserstack.utils.Helpers - null
16:37:02.904 [ApplicationImpl pooled thread 375] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:42:39.530 [ApplicationImpl pooled thread 376] INFO  c.b.l.BrowserStackRunExtension - testng
16:42:39.530 [ApplicationImpl pooled thread 376] INFO  com.browserstack.utils.Helpers - null
16:42:39.531 [ApplicationImpl pooled thread 376] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:51:18.948 [ApplicationImpl pooled thread 384] INFO  c.b.l.BrowserStackRunExtension - testng
16:51:18.948 [ApplicationImpl pooled thread 384] INFO  com.browserstack.utils.Helpers - null
16:51:18.949 [ApplicationImpl pooled thread 384] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:56:38.388 [ApplicationImpl pooled thread 384] INFO  c.b.l.BrowserStackRunExtension - testng
16:56:38.388 [ApplicationImpl pooled thread 384] INFO  com.browserstack.utils.Helpers - null
16:56:38.389 [ApplicationImpl pooled thread 384] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
09:56:57.134 [ApplicationImpl pooled thread 35] INFO  c.b.l.BrowserStackRunExtension - testng
09:56:57.135 [ApplicationImpl pooled thread 35] INFO  com.browserstack.utils.Helpers - null
09:56:57.136 [ApplicationImpl pooled thread 35] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
09:59:19.087 [ApplicationImpl pooled thread 35] INFO  c.b.l.BrowserStackRunExtension - testng
09:59:19.087 [ApplicationImpl pooled thread 35] INFO  com.browserstack.utils.Helpers - null
09:59:19.087 [ApplicationImpl pooled thread 35] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:05:50.212 [ApplicationImpl pooled thread 45] INFO  c.b.l.BrowserStackRunExtension - testng
10:05:50.212 [ApplicationImpl pooled thread 45] INFO  com.browserstack.utils.Helpers - null
10:05:50.212 [ApplicationImpl pooled thread 45] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:48:13.399 [ApplicationImpl pooled thread 84] INFO  c.b.l.BrowserStackRunExtension - testng
10:48:13.399 [ApplicationImpl pooled thread 84] INFO  com.browserstack.utils.Helpers - null
10:48:13.399 [ApplicationImpl pooled thread 84] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:49:19.138 [ApplicationImpl pooled thread 82] INFO  c.b.l.BrowserStackRunExtension - testng
10:49:19.138 [ApplicationImpl pooled thread 82] INFO  com.browserstack.utils.Helpers - null
10:49:19.139 [ApplicationImpl pooled thread 82] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:52:28.469 [ApplicationImpl pooled thread 86] INFO  c.b.l.BrowserStackRunExtension - testng
10:52:28.469 [ApplicationImpl pooled thread 86] INFO  com.browserstack.utils.Helpers - null
10:52:28.470 [ApplicationImpl pooled thread 86] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:58:15.134 [ApplicationImpl pooled thread 93] INFO  c.b.l.BrowserStackRunExtension - testng
10:58:15.134 [ApplicationImpl pooled thread 93] INFO  com.browserstack.utils.Helpers - null
10:58:15.135 [ApplicationImpl pooled thread 93] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:01:44.774 [ApplicationImpl pooled thread 98] INFO  c.b.l.BrowserStackRunExtension - testng
11:01:44.774 [ApplicationImpl pooled thread 98] INFO  com.browserstack.utils.Helpers - null
11:01:44.775 [ApplicationImpl pooled thread 98] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:12:28.332 [ApplicationImpl pooled thread 98] INFO  c.b.l.BrowserStackRunExtension - testng
11:12:28.332 [ApplicationImpl pooled thread 98] INFO  com.browserstack.utils.Helpers - null
11:12:28.333 [ApplicationImpl pooled thread 98] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
